record_id,timestamp_utc,device_id,device_type,location_city,edge_node_id,distance_to_edge_km,network_slice_id,qos_class,protocol,uplink_bandwidth_Mbps,downlink_bandwidth_Mbps,latency_ms,jitter_ms,throughput_Mbps,packet_size_bytes,packet_loss_pct,retransmissions,signal_rssi_dBm,cpu_usage_pct,memory_usage_pct,battery_level_pct,mobility_state,task_type,task_size_kb,model_size_mb,ai_accelerator,inference_time_ms,energy_consumption_j,offload_location,security_scheme,encryption_enabled,enrolled_in_federated_learning,federated_rounds,blockchain_enabled,priority,core_network_latency_ms,task_offload_success,notes,edge_processing_time_ms,end_to_end_latency_ms,is_urlc_like
244,2025-09-12T13:44:29,dro_16827,drone,Hyderabad,edge_008,2.493,slice_1,eMBB,HTTP/3,19.768,8.668,4.486,0.627,39.417,493,1.02,1,-80,39.15,61.99,17.9,static,voice_processing,61.802,1.0,tiny_ml,2.142,9.659,edge,tls,True,0,0,False,medium,-2.859,1,,2.113,7.889,0
245,2025-09-18T10:17:24,rob_21980,robotic_arm,Pune,edge_049,3.663,slice_3,eMBB,TCP,20.666,28.697,2.559,1.76,46.381,304,0.4,0,-60,44.59,61.14,79.8,vehicular,image_inference,2.675,50.0,gpu,1.482,27.88,edge,tls,True,1,2,False,high,-2.411,1,,1.544,5.221,0
246,2025-09-29T03:18:38,rob_67344,robotic_arm,Ahmedabad,edge_019,0.627,slice_10,eMBB,HTTP/3,8.093,12.464,0.805,0.966,21.485,180,0.377,1,-69,36.84,30.49,61.0,mobile,voice_processing,57.111,0.5,tiny_ml,0.47,10.924,edge,secure_element,True,0,0,False,high,7.431,1,,0.394,0.242,0
247,2025-09-02T21:48:35,tra_34318,traffic_sensor,Chennai,edge_040,6.949,slice_6,eMBB,TCP,3.374,1.522,16.82,0.399,1.304,121,0.404,0,-67,21.46,25.2,100.0,aerial,control_command,107.203,0.5,gpu,9.436,2.474,edge,tls,True,0,0,False,high,16.382,1,,10.885,28.293,0
248,2025-09-10T16:07:44,sma_27009,smart_camera,Hyderabad,edge_003,2.463,slice_2,eMBB,HTTP/3,1.624,3.95,11.942,0.4,3.891,198,0.098,0,-68,50.55,33.81,47.4,vehicular,image_inference,73.044,10.0,edge_tpu,10.276,10.959,local,tls,True,0,0,False,medium,25.965,1,,10.456,22.858,0
249,2025-09-04T22:43:14,aut_71349,autonomous_vehicle,Ahmedabad,edge_024,3.266,slice_7,mMTC,UDP,47.981,101.642,2.706,1.072,157.407,169,1.867,0,-69,57.43,38.71,64.4,static,voice_processing,123.438,100.0,gpu,1.785,26.757,local,tls,True,0,0,False,high,20.539,1,,1.457,5.14,0
250,2025-09-11T09:00:00,tra_34832,traffic_sensor,Hyderabad,edge_034,1.253,slice_3,eMBB,QUIC,0.283,4.421,12.768,2.587,-3.66,171,0.0,0,-56,20.91,35.24,59.0,vehicular,video_analytics,38.114,1.0,edge_tpu,10.166,3.627,local,secure_element,True,0,0,False,medium,18.148,1,,11.873,28.472,0
251,2025-10-01T02:57:07,ind_79979,industrial_sensor,Chennai,edge_029,3.227,slice_6,eMBB,UDP,1.509,1.69,7.164,0.052,0.469,83,0.462,1,-62,25.18,33.34,77.1,vehicular,anomaly_detection,375.474,5.0,tiny_ml,6.183,1.794,cloud,dtls,True,0,0,False,medium,13.95,0,,6.157,19.603,0
252,2025-09-02T00:13:39,rob_62047,robotic_arm,Pune,edge_047,0.059,slice_9,eMBB,HTTP/3,23.467,7.823,2.751,0.216,24.127,402,0.514,1,-56,41.67,63.69,32.2,mobile,anomaly_detection,117.207,10.0,npu,1.48,23.55,edge,none,False,0,0,False,medium,4.516,1,,1.698,2.928,0
253,2025-09-03T19:57:56,ind_22358,industrial_sensor,Chennai,edge_030,5.991,slice_6,URLLC,UDP,1.393,0.593,4.177,0.694,8.591,590,0.811,0,-57,13.01,39.17,69.4,aerial,telemetry_aggregation,59.292,0.1,tiny_ml,2.679,0.575,edge,tls,True,0,0,False,medium,13.268,1,,3.061,7.062,1
254,2025-09-16T13:58:59,aut_88018,autonomous_vehicle,Lucknow,edge_003,2.786,slice_1,URLLC,CoAP,31.276,34.062,1.558,0.037,55.59,1263,0.36,0,-68,73.79,85.33,75.6,static,predictive_maintenance,18.091,1.0,tiny_ml,0.632,34.466,edge,blockchain_enabled,True,0,0,True,medium,11.429,1,,0.712,0.795,1
255,2025-09-03T23:58:49,sma_78731,smart_meter,Ahmedabad,edge_021,2.68,slice_9,URLLC,TCP,0.01,0.335,60.309,2.024,-2.463,181,0.0,1,-57,4.05,7.25,54.5,aerial,video_analytics,27.413,5.0,none,47.836,0.154,edge,secure_element,True,0,0,False,high,47.465,1,,39.444,101.314,1
256,2025-09-04T09:27:04,rob_84899,robotic_arm,Kolkata,edge_036,2.372,slice_9,URLLC,QUIC,22.686,26.627,0.2,0.203,46.184,214,0.0,0,-55,63.21,32.12,48.4,mobile,anomaly_detection,51.314,5.0,gpu,0.154,19.876,edge,blockchain_enabled,True,0,0,True,high,1.316,1,,0.138,-0.277,1
257,2025-09-29T23:06:34,tra_52390,traffic_sensor,Mumbai,edge_006,2.322,slice_6,eMBB,HTTP/3,1.087,0.896,6.667,1.218,3.92,563,1.68,0,-59,32.43,51.18,67.9,vehicular,voice_processing,110.957,0.5,tiny_ml,4.744,1.549,cloud,tls,True,1,1,False,medium,15.008,1,,5.457,13.843,0
258,2025-09-20T03:31:57,wea_36173,wearable,Mumbai,edge_010,1.898,slice_4,mMTC,CoAP,0.608,0.883,28.375,2.056,-6.483,338,0.324,1,-61,12.25,9.87,74.7,static,image_inference,51.254,0.1,npu,16.059,0.784,edge,blockchain_enabled,True,0,0,True,medium,37.802,1,,18.622,51.308,0
259,2025-09-25T10:45:58,sma_81932,smart_meter,Bengaluru,edge_040,2.751,slice_1,eMBB,QUIC,0.099,0.098,73.51,4.147,2.262,258,0.233,1,-72,6.83,9.08,77.6,static,voice_processing,21.936,1.0,npu,53.47,0.016,local,tls,True,0,0,False,high,67.69,1,,52.573,119.506,0
260,2025-09-19T11:41:07,sma_96898,smart_meter,Pune,edge_007,1.431,slice_7,mMTC,HTTP/3,0.2,0.251,60.145,2.958,3.159,728,2.087,0,-61,5.19,8.76,58.6,vehicular,anomaly_detection,13.249,1.0,tiny_ml,53.132,0.051,local,blockchain_enabled,True,1,0,True,medium,62.312,1,,51.858,114.478,0
261,2025-09-27T16:48:47,sma_42426,smart_camera,Chennai,edge_020,1.273,slice_3,eMBB,HTTP/3,13.137,17.89,10.929,1.58,34.999,369,1.872,0,-53,62.16,58.34,50.4,vehicular,predictive_maintenance,173.93,100.0,gpu,8.824,5.318,hybrid,tls,True,0,0,False,high,25.528,1,,7.677,18.225,0
262,2025-09-09T08:45:09,sma_39567,smart_meter,Kolkata,edge_022,6.18,slice_7,URLLC,QUIC,0.143,0.116,50.325,1.476,4.456,505,0.528,0,-49,2.72,6.8,59.5,aerial,voice_processing,62.908,1.0,gpu,28.416,0.034,hybrid,blockchain_enabled,True,0,0,True,medium,53.476,1,,33.74,86.446,1
263,2025-09-28T06:43:21,ind_86156,industrial_sensor,Hyderabad,edge_044,0.059,slice_9,URLLC,CoAP,0.448,2.189,0.648,0.311,-1.58,58,0.005,0,-67,23.5,20.88,91.2,mobile,control_command,284.901,0.5,tiny_ml,0.362,0.574,local,blockchain_enabled,True,0,0,True,low,9.122,1,,0.32,-0.721,1
264,2025-09-21T23:08:33,dro_64269,drone,Jaipur,edge_020,2.628,slice_5,mMTC,HTTP/3,9.599,19.2,9.034,0.145,23.876,792,0.547,2,-67,48.09,38.42,71.7,vehicular,voice_processing,16.415,1.0,none,3.731,6.801,local,tls,True,1,4,False,high,20.687,1,,3.27,16.893,0
265,2025-10-01T08:32:23,ind_75840,industrial_sensor,Chennai,edge_031,1.276,slice_8,mMTC,QUIC,1.754,1.207,7.892,0.94,1.693,184,2.308,2,-82,19.96,31.19,41.9,static,telemetry_aggregation,28.915,10.0,none,3.957,0.794,edge,tls,True,0,0,False,high,23.386,1,,4.211,15.843,0
266,2025-09-25T18:49:28,rob_90879,robotic_arm,Chennai,edge_045,1.281,slice_4,eMBB,QUIC,19.315,16.18,3.319,1.088,35.539,121,0.063,0,-64,51.35,81.84,54.6,vehicular,control_command,20.512,0.1,gpu,2.392,15.895,edge,tls,True,0,0,False,medium,26.511,1,,2.146,8.17,0
267,2025-09-24T04:19:38,aut_69193,autonomous_vehicle,Hyderabad,edge_003,0.038,slice_1,eMBB,QUIC,28.538,38.51,2.263,0.469,52.477,225,1.309,0,-54,54.16,57.17,100.0,vehicular,video_analytics,150.31,1.0,edge_tpu,1.094,116.165,edge,dtls,True,1,1,False,medium,13.965,1,,1.286,6.929,0
268,2025-09-23T22:15:58,ind_70762,industrial_sensor,Ahmedabad,edge_006,1.054,slice_10,URLLC,CoAP,0.005,2.145,2.719,0.098,-2.555,300,0.763,1,-43,19.19,19.69,4.5,aerial,image_inference,56.584,1.0,gpu,2.287,2.296,hybrid,tls,True,0,0,False,high,24.958,1,,1.84,3.322,1
269,2025-09-06T10:14:42,ind_26193,industrial_sensor,Jaipur,edge_008,1.774,slice_9,eMBB,TCP,0.55,0.691,7.375,0.045,4.899,227,0.261,2,-74,20.99,33.01,72.4,mobile,voice_processing,78.867,0.1,gpu,5.035,0.248,hybrid,blockchain_enabled,True,0,0,True,medium,13.999,1,,4.04,10.556,0
270,2025-09-04T11:46:50,ind_33444,industrial_sensor,Delhi,edge_027,1.752,slice_8,mMTC,HTTP/3,1.534,1.293,8.003,0.169,4.042,385,0.0,0,-69,27.36,24.75,92.9,static,anomaly_detection,11.622,0.5,none,5.376,1.68,hybrid,blockchain_enabled,True,0,0,True,high,9.14,1,,5.386,16.646,0
271,2025-09-30T14:04:26,wea_38426,wearable,Jaipur,edge_043,1.723,slice_2,eMBB,TCP,0.338,0.394,14.949,0.263,8.514,97,0.902,0,-64,6.26,18.6,93.5,mobile,predictive_maintenance,188.647,10.0,none,12.362,0.337,local,blockchain_enabled,True,0,0,True,medium,24.655,1,,12.303,25.949,0
272,2025-09-06T06:10:50,sma_53399,smart_meter,Mumbai,edge_004,0.37,slice_3,mMTC,TCP,0.3,0.301,82.139,4.188,0.591,117,0.0,1,-65,7.99,10.37,79.7,mobile,predictive_maintenance,96.044,5.0,edge_tpu,64.418,0.051,local,secure_element,True,0,0,False,medium,104.038,1,,55.744,143.22,0
273,2025-09-28T17:20:42,aut_66010,autonomous_vehicle,Delhi,edge_005,2.005,slice_5,URLLC,HTTP/3,57.606,24.934,1.02,0.995,84.614,484,0.615,0,-61,69.73,86.76,66.0,static,predictive_maintenance,15.617,5.0,tiny_ml,0.655,35.298,hybrid,tls,True,1,2,False,medium,9.986,1,,0.654,1.703,1
274,2025-10-01T13:21:18,sma_65974,smart_meter,Delhi,edge_021,4.016,slice_10,eMBB,QUIC,0.34,0.211,54.874,2.508,2.472,78,0.0,0,-68,4.33,8.59,100.0,aerial,video_analytics,6.691,10.0,none,48.817,0.198,cloud,tls,True,0,0,False,high,65.225,1,,47.092,104.472,0
275,2025-10-01T20:53:07,aut_37175,autonomous_vehicle,Kolkata,edge_027,1.286,slice_9,eMBB,UDP,59.227,50.421,1.295,0.339,93.764,217,0.981,1,-62,87.11,70.46,35.2,vehicular,image_inference,41.465,100.0,tiny_ml,0.522,82.906,edge,dtls,True,0,0,False,medium,15.915,1,,0.604,9.197,0
276,2025-09-11T10:02:39,sma_33020,smart_camera,Chennai,edge_022,3.459,slice_8,eMBB,UDP,7.55,9.981,2.904,1.36,7.784,205,0.88,1,-61,49.16,81.82,73.4,vehicular,voice_processing,16.735,0.5,edge_tpu,1.918,2.768,local,tls,True,0,0,False,medium,-2.208,1,,1.541,3.326,0
277,2025-09-30T00:43:00,sma_37297,smart_camera,Chennai,edge_044,2.167,slice_6,mMTC,HTTP/3,10.284,10.206,13.205,0.2,21.99,227,0.46,0,-71,69.78,56.14,3.5,aerial,control_command,89.31,0.1,none,9.212,3.07,edge,blockchain_enabled,True,0,0,True,low,27.447,1,,10.967,25.378,0
278,2025-09-15T04:19:01,dro_14145,drone,Mumbai,edge_027,4.771,slice_6,mMTC,QUIC,9.2,8.922,6.901,0.973,12.869,672,1.068,2,-67,38.42,42.93,54.3,static,predictive_maintenance,14.623,0.5,npu,4.506,11.958,local,tls,True,0,0,False,medium,18.285,1,,4.73,15.794,0
279,2025-09-18T12:15:48,ind_34931,industrial_sensor,Ahmedabad,edge_031,2.561,slice_3,mMTC,UDP,0.314,0.66,10.48,0.286,3.92,66,0.841,0,-68,15.83,19.13,91.1,mobile,anomaly_detection,54.313,0.1,none,4.799,2.016,hybrid,blockchain_enabled,True,0,0,True,medium,8.425,1,,4.131,18.465,0
280,2025-09-24T15:56:58,aut_53684,autonomous_vehicle,Mumbai,edge_003,2.392,slice_5,mMTC,HTTP/3,54.012,27.924,2.538,2.498,81.228,184,1.697,0,-44,73.63,72.61,60.3,mobile,video_analytics,166.55,0.1,gpu,1.164,166.521,edge,dtls,True,1,1,False,high,15.129,1,,0.953,3.508,0
281,2025-09-29T04:00:39,sma_91650,smart_camera,Mumbai,edge_033,1.054,slice_9,eMBB,HTTP/3,1.61,0.008,8.617,0.103,0.427,138,1.695,0,-63,50.56,78.86,44.4,mobile,telemetry_aggregation,907.403,0.5,none,3.665,3.211,edge,secure_element,True,0,0,False,high,0.15,1,,3.721,11.788,0
282,2025-09-20T14:55:32,sma_23884,smart_camera,Mumbai,edge_004,1.985,slice_10,eMBB,UDP,7.514,15.776,13.997,0.153,20.003,155,0.19,1,-61,57.91,52.89,82.5,vehicular,predictive_maintenance,15.979,50.0,edge_tpu,9.332,7.012,edge,secure_element,True,0,0,False,low,5.499,1,,8.342,22.64,0
283,2025-09-08T09:33:08,rob_84421,robotic_arm,Jaipur,edge_006,0.445,slice_8,eMBB,QUIC,11.769,23.826,2.883,0.248,42.221,179,1.214,0,-73,40.87,58.93,57.4,vehicular,image_inference,87.43,0.5,npu,2.29,44.354,edge,tls,True,0,0,False,low,1.295,1,,2.108,10.335,0
284,2025-09-25T01:48:15,sma_18567,smart_camera,Chennai,edge_008,0.654,slice_3,eMBB,HTTP/3,9.256,8.188,5.981,0.72,18.637,292,1.358,1,-56,61.13,65.49,89.8,aerial,predictive_maintenance,45.373,10.0,tiny_ml,4.762,3.876,edge,tls,True,0,0,False,medium,6.971,1,,4.277,10.421,0
285,2025-09-13T19:55:13,tra_41270,traffic_sensor,Bengaluru,edge_036,1.128,slice_6,eMBB,HTTP/3,2.045,1.793,11.012,2.696,0.867,173,1.311,0,-57,31.06,39.12,26.3,vehicular,predictive_maintenance,25.962,50.0,gpu,9.53,1.862,local,tls,True,0,0,False,medium,16.018,1,,10.102,22.348,0
286,2025-09-28T22:43:25,rob_52647,robotic_arm,Jaipur,edge_007,5.176,slice_7,eMBB,HTTP/3,23.942,23.848,1.817,1.839,48.781,840,0.266,1,-56,44.83,43.31,23.2,aerial,telemetry_aggregation,25.396,10.0,none,0.853,9.978,local,blockchain_enabled,True,0,0,True,medium,12.175,1,,0.871,2.408,0
287,2025-09-09T05:50:58,sma_29231,smart_camera,Ahmedabad,edge_029,1.025,slice_10,eMBB,QUIC,8.825,9.662,6.305,0.192,8.058,230,2.223,0,-62,41.8,56.46,79.4,vehicular,anomaly_detection,13.067,10.0,tiny_ml,5.644,7.679,hybrid,blockchain_enabled,True,0,0,True,medium,10.657,1,,4.691,14.113,0
288,2025-09-16T06:44:58,tra_26718,traffic_sensor,Chennai,edge_004,4.298,slice_1,mMTC,TCP,0.52,2.239,19.563,3.021,6.175,273,1.154,1,-62,19.21,26.6,20.8,static,video_analytics,48.005,5.0,gpu,11.569,6.421,edge,tls,True,0,0,False,medium,43.7,1,,11.692,32.722,0
289,2025-09-08T18:01:36,ind_72242,industrial_sensor,Ahmedabad,edge_013,1.066,slice_6,mMTC,UDP,0.783,1.594,11.065,1.077,8.516,238,2.075,0,-64,16.47,33.91,61.6,mobile,predictive_maintenance,32.806,1.0,none,8.066,0.792,hybrid,blockchain_enabled,True,0,0,True,low,26.411,1,,9.005,18.06,0
290,2025-09-22T04:30:23,ind_94180,industrial_sensor,Lucknow,edge_030,5.415,slice_8,eMBB,QUIC,0.801,1.096,7.467,0.382,-6.482,1223,0.0,1,-66,20.38,26.16,59.8,mobile,predictive_maintenance,3.228,50.0,edge_tpu,5.646,1.813,cloud,tls,True,0,0,False,medium,10.784,1,,4.7,10.261,0
291,2025-09-03T20:06:56,dro_14385,drone,Jaipur,edge_037,6.872,slice_10,eMBB,QUIC,12.577,9.506,7.235,0.874,23.999,103,2.748,0,-54,47.31,51.06,10.2,vehicular,voice_processing,95.23,0.1,gpu,4.603,11.51,local,tls,True,0,0,False,medium,6.741,0,,5.321,7.56,0
292,2025-09-28T04:12:36,aut_99662,autonomous_vehicle,Delhi,edge_038,2.388,slice_6,URLLC,QUIC,6.114,128.093,0.738,0.022,124.279,77,0.0,0,-79,54.21,36.64,80.0,vehicular,video_analytics,67.52,50.0,none,0.308,126.83,edge,tls,True,0,0,False,low,11.662,1,,0.318,-0.438,1
293,2025-09-24T23:16:18,sma_18050,smart_meter,Bengaluru,edge_038,3.829,slice_5,URLLC,UDP,0.176,0.129,8.179,1.153,-7.472,201,0.0,0,-66,5.04,11.22,93.2,static,video_analytics,39.36,0.1,edge_tpu,6.78,0.161,edge,tls,True,1,5,False,high,11.422,1,,8.002,19.563,1
294,2025-09-09T08:05:07,ind_87564,industrial_sensor,Jaipur,edge_043,3.356,slice_5,mMTC,UDP,0.949,0.094,7.943,0.484,-5.003,90,1.502,2,-68,22.46,30.31,35.2,static,anomaly_detection,16.691,5.0,tiny_ml,3.789,1.43,hybrid,tls,True,0,0,False,medium,10.727,0,,3.256,16.17,0
295,2025-09-23T08:51:08,tra_41188,traffic_sensor,Bengaluru,edge_047,2.74,slice_6,eMBB,HTTP/3,1.848,2.894,7.513,0.391,-0.234,177,1.06,1,-64,31.43,39.39,50.0,aerial,telemetry_aggregation,54.348,10.0,tiny_ml,5.006,1.02,cloud,blockchain_enabled,True,1,2,True,medium,4.314,1,,5.994,16.564,0
296,2025-09-09T01:06:41,rob_44422,robotic_arm,Kolkata,edge_034,1.849,slice_8,eMBB,QUIC,6.806,8.717,0.881,0.793,11.375,951,0.48,0,-52,44.9,38.08,63.8,static,image_inference,27.309,0.1,tiny_ml,0.757,27.566,edge,tls,True,0,0,False,low,10.764,1,,0.801,4.346,0
297,2025-09-14T09:29:49,sma_22881,smart_meter,Lucknow,edge_042,0.278,slice_4,eMBB,TCP,0.192,0.125,619.461,31.366,2.999,790,0.446,0,-61,3.02,8.1,82.7,mobile,predictive_maintenance,71.724,100.0,edge_tpu,410.475,0.059,edge,tls,True,0,0,False,medium,619.189,1,,421.557,1041.638,0
298,2025-09-11T08:57:13,sma_43016,smart_meter,Pune,edge_003,3.793,slice_10,URLLC,TCP,0.089,0.309,11.467,0.471,-2.973,292,0.0,0,-57,3.47,8.84,96.0,static,video_analytics,38.487,0.1,gpu,8.302,0.084,cloud,blockchain_enabled,True,0,0,True,low,16.54,1,,8.353,23.145,1
299,2025-09-14T07:09:26,aut_34151,autonomous_vehicle,Jaipur,edge_019,1.905,slice_8,mMTC,CoAP,45.063,89.478,2.834,0.362,125.276,52,1.44,0,-66,52.55,50.26,100.0,vehicular,voice_processing,58.515,0.5,tiny_ml,1.684,14.314,local,tls,True,0,0,False,low,22.245,1,,1.363,6.056,0
300,2025-09-23T09:18:23,sma_33321,smart_meter,Jaipur,edge_005,0.671,slice_3,eMBB,TCP,0.23,0.299,64.53,2.439,-7.083,74,0.818,0,-76,6.24,8.36,61.3,static,telemetry_aggregation,54.747,1.0,none,44.246,0.021,local,tls,True,0,0,False,medium,81.041,1,,52.027,122.97,0
301,2025-09-02T01:00:38,rob_29510,robotic_arm,Kolkata,edge_003,1.474,slice_6,URLLC,CoAP,21.87,15.088,0.992,0.199,38.955,145,0.286,0,-58,87.75,78.44,78.1,aerial,anomaly_detection,162.264,5.0,edge_tpu,0.432,18.868,cloud,tls,True,0,0,False,high,-2.636,1,,0.457,2.154,1
302,2025-09-29T12:53:12,rob_25886,robotic_arm,Chennai,edge_035,7.423,slice_7,eMBB,HTTP/3,13.932,11.091,2.914,0.176,27.554,135,1.48,1,-83,47.1,70.44,75.8,vehicular,anomaly_detection,24.784,5.0,npu,1.423,7.848,edge,dtls,True,0,0,False,high,15.577,1,,1.191,9.134,0
303,2025-09-20T22:30:16,wea_49173,wearable,Chennai,edge_007,4.632,slice_8,URLLC,TCP,0.367,0.593,12.85,1.319,-0.024,378,0.0,0,-67,8.01,15.63,33.3,mobile,predictive_maintenance,269.124,10.0,none,8.571,0.369,edge,tls,True,0,0,False,low,21.932,1,,6.929,23.401,1
304,2025-09-18T11:17:43,sma_14855,smart_camera,Chennai,edge_004,2.817,slice_7,mMTC,HTTP/3,10.843,3.032,10.277,0.047,15.962,637,2.002,0,-76,39.78,42.99,74.3,mobile,control_command,24.592,5.0,gpu,6.623,3.261,cloud,dtls,True,0,0,False,high,9.045,1,,5.433,18.916,0
305,2025-09-08T08:05:13,sma_41808,smart_camera,Bengaluru,edge_001,5.34,slice_5,URLLC,UDP,5.068,3.971,2.82,0.464,3.573,99,0.612,0,-59,54.51,74.52,100.0,static,voice_processing,62.215,5.0,none,1.439,1.792,cloud,tls,True,0,0,False,low,4.805,1,,1.502,-0.712,1
306,2025-09-07T20:44:41,tra_52498,traffic_sensor,Lucknow,edge_044,2.488,slice_4,URLLC,UDP,0.01,1.135,9.636,1.509,-3.446,72,1.459,0,-60,35.12,38.64,83.3,mobile,video_analytics,9.366,10.0,edge_tpu,5.028,8.045,local,tls,True,1,4,False,medium,18.29,1,,5.257,18.681,1
307,2025-09-02T18:12:37,tra_30677,traffic_sensor,Mumbai,edge_032,2.53,slice_2,URLLC,TCP,1.254,1.538,11.328,0.437,1.689,570,0.0,0,-71,20.26,26.44,87.9,aerial,image_inference,29.094,5.0,edge_tpu,6.865,5.234,edge,tls,True,0,0,False,low,14.246,1,,6.864,18.809,1
308,2025-09-10T17:42:55,sma_88154,smart_camera,Jaipur,edge_046,1.017,slice_5,mMTC,HTTP/3,9.483,14.469,12.298,0.79,19.071,102,1.98,0,-72,49.11,76.97,59.2,static,video_analytics,5.847,5.0,none,7.774,12.385,edge,tls,True,1,1,False,medium,15.831,1,,7.173,19.139,0
309,2025-09-07T11:16:49,sma_35391,smart_camera,Jaipur,edge_010,3.997,slice_1,URLLC,HTTP/3,2.823,8.2,8.067,0.65,11.193,758,0.0,0,-61,28.73,51.58,92.4,aerial,predictive_maintenance,27.168,100.0,tiny_ml,6.395,7.094,local,tls,True,0,0,False,medium,-4.543,1,,6.476,11.094,1
310,2025-09-30T18:33:10,wea_68303,wearable,Chennai,edge_038,1.429,slice_6,URLLC,HTTP/3,0.659,0.527,12.63,1.906,-6.301,887,0.25,1,-63,7.93,8.98,83.4,aerial,predictive_maintenance,26.545,1.0,none,8.111,0.204,edge,tls,True,1,3,False,low,10.21,1,,8.164,21.777,1
311,2025-09-20T19:16:20,rob_33338,robotic_arm,Bengaluru,edge_024,3.979,slice_6,mMTC,CoAP,6.09,11.541,4.153,0.154,12.265,496,0.581,0,-69,52.84,95.12,27.7,static,predictive_maintenance,68.914,100.0,tiny_ml,3.24,18.086,edge,tls,True,0,0,False,high,13.464,1,,2.617,7.871,0
312,2025-10-01T16:28:53,ind_93623,industrial_sensor,Lucknow,edge_011,3.37,slice_2,mMTC,QUIC,1.204,1.328,7.546,1.728,1.279,77,1.874,3,-77,13.35,13.67,85.6,aerial,video_analytics,17.429,0.5,edge_tpu,3.949,3.746,cloud,blockchain_enabled,True,1,1,True,medium,0.734,1,,3.605,8.242,0
313,2025-09-02T05:54:55,ind_85196,industrial_sensor,Pune,edge_027,0.293,slice_9,mMTC,HTTP/3,0.582,0.361,6.705,0.87,5.324,158,0.579,0,-64,15.74,30.05,66.9,static,image_inference,6.421,50.0,edge_tpu,5.135,3.09,local,tls,True,0,0,False,low,7.516,1,,4.217,7.502,0
314,2025-09-06T09:42:26,sma_41334,smart_meter,Jaipur,edge_002,0.058,slice_8,eMBB,UDP,0.294,0.243,58.935,1.967,-2.549,166,0.383,1,-68,1.16,9.56,43.7,mobile,voice_processing,32.869,50.0,gpu,37.256,0.012,edge,tls,True,0,0,False,medium,49.743,1,,43.219,104.614,0
315,2025-09-18T03:51:48,aut_60446,autonomous_vehicle,Pune,edge_034,0.674,slice_5,eMBB,TCP,38.654,50.529,2.016,2.504,89.737,141,1.256,1,-69,53.66,53.3,68.2,static,anomaly_detection,24.513,50.0,edge_tpu,1.724,30.174,edge,tls,True,1,3,False,medium,-4.24,1,,1.879,7.51,0
316,2025-09-24T14:10:30,tra_57918,traffic_sensor,Pune,edge_040,1.49,slice_9,eMBB,TCP,1.436,0.016,10.924,0.534,9.636,217,0.701,1,-52,30.98,29.9,46.1,vehicular,anomaly_detection,64.369,0.1,edge_tpu,7.538,2.896,hybrid,blockchain_enabled,True,1,1,True,low,11.922,1,,9.034,21.529,0
317,2025-09-19T02:56:18,wea_52003,wearable,Ahmedabad,edge_018,3.293,slice_1,eMBB,HTTP/3,0.643,0.821,24.217,1.252,-4.914,283,0.697,1,-60,11.32,14.56,50.5,static,voice_processing,7.758,0.5,tiny_ml,15.16,0.298,hybrid,tls,True,0,0,False,medium,45.878,1,,13.96,42.63,0
318,2025-09-24T05:27:42,aut_34687,autonomous_vehicle,Mumbai,edge_006,0.36,slice_5,mMTC,CoAP,28.565,123.106,2.006,0.612,147.749,287,0.025,0,-60,76.95,71.08,61.1,mobile,predictive_maintenance,57.517,1.0,none,1.096,37.529,edge,tls,True,1,0,False,low,6.172,1,,1.262,4.009,0
319,2025-09-18T19:56:05,ind_72115,industrial_sensor,Jaipur,edge_027,4.26,slice_5,eMBB,HTTP/3,1.29,0.884,7.344,0.053,-0.899,379,0.403,1,-64,22.21,26.87,69.1,vehicular,voice_processing,17.727,1.0,none,5.116,0.94,edge,blockchain_enabled,True,0,0,True,medium,7.052,1,,5.327,13.508,0
320,2025-09-16T18:16:52,rob_70031,robotic_arm,Bengaluru,edge_037,3.322,slice_5,eMBB,HTTP/3,10.374,15.455,2.833,0.078,21.234,260,0.977,0,-70,59.55,91.3,39.3,mobile,control_command,70.184,5.0,tiny_ml,2.141,19.083,hybrid,tls,True,0,0,False,medium,8.782,0,,2.101,3.183,0
321,2025-09-13T13:10:46,ind_31135,industrial_sensor,Pune,edge_008,1.809,slice_8,eMBB,HTTP/3,0.264,1.253,5.605,0.085,-5.738,315,0.862,0,-78,30.18,33.52,84.4,vehicular,anomaly_detection,22.355,5.0,none,3.738,1.918,hybrid,tls,True,1,4,False,high,15.714,1,,3.323,5.247,0
322,2025-09-24T05:39:21,rob_29055,robotic_arm,Bengaluru,edge_021,0.004,slice_9,mMTC,CoAP,20.466,25.478,3.552,1.265,46.911,135,0.216,0,-59,58.76,48.78,71.3,vehicular,image_inference,40.208,0.5,tiny_ml,2.841,31.202,edge,secure_element,True,0,0,False,medium,-7.107,1,,3.112,13.228,0
323,2025-09-25T06:03:11,dro_24721,drone,Bengaluru,edge_003,0.262,slice_5,eMBB,HTTP/3,5.427,16.209,12.087,0.235,23.549,305,0.557,1,-55,36.18,61.94,24.6,vehicular,voice_processing,557.584,0.1,edge_tpu,10.489,6.779,local,tls,True,0,0,False,medium,15.055,1,,12.185,28.666,0
324,2025-09-06T05:48:04,rob_98744,robotic_arm,Kolkata,edge_033,5.116,slice_10,eMBB,TCP,2.575,5.161,2.95,0.634,8.202,591,1.528,1,-67,77.27,54.95,98.7,mobile,telemetry_aggregation,32.938,0.5,npu,1.689,10.729,local,blockchain_enabled,True,0,0,True,medium,22.082,1,,1.51,1.282,0
